id,id_cliente,id_loja,id_produto,dt_venda,cliente_nome,cliente_sexo,cliente_dt_nasc,loja_cidade,produto_produto,produto_valor,dt_pgto,pg,tempo_pg,cliente_idade,venda_ano,promoção
1,393,9,3,2018-01-04,Gustavo Silva,M,1950-01-04,Palmas,laptop básico,2300.0,2018-01-24,1,20.0,73.0,2018,0
2,417,9,3,2018-01-04,Leonor Almeida,F,1972-01-31,Palmas,laptop básico,2300.0,2018-02-17,1,44.0,51.0,2018,1
3,374,7,8,2018-01-04,André Alves,M,1962-08-03,Salvador,cadeira,540.0,2018-02-14,1,41.0,60.0,2018,1
4,59,4,3,2018-01-05,Rodrigo Ribeiro,M,1941-11-05,Belo Horizonte,laptop básico,2300.0,,0,,81.0,2018,0
5,18,9,1,2018-01-05,Antônio Azevedo,M,1941-04-15,Palmas,mouse,20.0,2018-01-23,1,18.0,81.0,2018,0
6,52,8,3,2018-01-05,Isabela Gomes,F,1970-05-30,Brasília,laptop básico,2300.0,,0,,52.0,2018,1
7,485,10,6,2018-01-06,Nicolash Goncalves,M,1952-03-04,Vitória,impressora,700.0,2018-02-15,1,40.0,71.0,2018,1
8,543,10,10,2018-01-06,Julieta Costa,F,1989-06-18,Vitória,xxx-231a,321.1352,2018-01-24,1,18.0,33.0,2018,0
9,855,7,3,2018-01-06,Isabela Melo,F,1991-05-22,Salvador,laptop básico,2300.0,2018-01-31,1,25.0,31.0,2018,1
10,724,3,10,2018-01-07,Paulo Goncalves,M,1979-11-11,Curitiba,xxx-231a,321.1352,2018-02-04,1,28.0,43.0,2018,0
11,607,5,3,2018-01-07,Luiza Costa,F,1978-07-12,Santa Catarina,laptop básico,2300.0,2018-02-17,1,41.0,44.0,2018,0
12,308,10,3,2018-01-07,Leonardo Barros,M,1997-09-05,Vitória,laptop básico,2300.0,2018-02-13,1,37.0,25.0,2018,0
13,747,3,1,2018-01-10,Evelyn Castro,F,1945-06-29,Curitiba,mouse,20.0,2018-01-10,1,0.0,77.0,2018,0
14,906,8,2,2018-01-10,Beatrice Oliveira,F,1960-01-08,Brasília,teclado,30.0,2018-01-30,1,20.0,63.0,2018,1
15,635,10,3,2018-01-10,Danilo Silva,M,1966-05-30,Vitória,laptop básico,2300.0,2018-01-15,1,5.0,56.0,2018,0
16,691,7,3,2018-01-11,Amanda Ribeiro,F,1952-10-02,Salvador,laptop básico,2300.0,2018-01-22,1,11.0,70.0,2018,0
17,952,7,3,2018-01-11,Amanda Fernandes,F,1997-07-27,Salvador,laptop básico,2300.0,2018-02-11,1,31.0,25.0,2018,1
18,395,2,3,2018-01-11,Kauã Dias,M,1964-06-15,Rio de Janeiro,laptop básico,2300.0,2018-02-16,1,36.0,58.0,2018,1
19,349,7,5,2018-01-12,Rebeca Rocha,F,1999-11-20,Salvador,monitor,1500.0,2018-01-16,1,4.0,23.0,2018,0
20,732,9,8,2018-01-12,Bruna Cunha,F,1950-03-18,Palmas,cadeira,540.0,2018-01-16,1,4.0,72.0,2018,0
21,270,2,10,2018-01-12,Sem Nome,M,2020-01-01,Rio de Janeiro,xxx-231a,321.1352,,0,,3.0,2018,0
22,465,2,3,2018-01-12,Nicole Lima,F,1962-04-17,Rio de Janeiro,laptop básico,2300.0,,0,,60.0,2018,0
23,665,10,10,2018-01-12,Carolina Ribeiro,F,1969-03-28,Vitória,xxx-231a,321.1352,2018-02-09,1,28.0,53.0,2018,1
24,478,2,2,2018-01-12,Matilde Souza,F,1995-05-25,Rio de Janeiro,teclado,30.0,2018-02-21,1,40.0,27.0,2018,1
25,152,9,5,2018-01-13,Miguel Dias,M,2000-10-01,Palmas,monitor,1500.0,2018-02-26,1,44.0,22.0,2018,1
26,875,8,3,2018-01-13,Luís Pereira,M,1987-10-26,Brasília,laptop básico,2300.0,2018-02-27,1,45.0,35.0,2018,1
27,951,8,3,2018-01-13,Aline Oliveira,F,1959-03-14,Brasília,laptop básico,2300.0,2018-02-16,1,34.0,63.0,2018,1
28,925,6,9,2018-01-13,Vitor Barros,M,1954-11-15,Recife,mesa,860.0,2018-02-02,1,20.0,68.0,2018,0
29,299,5,10,2018-01-13,Vinícius Correia,M,1974-06-24,Santa Catarina,xxx-231a,321.1352,2018-02-09,1,27.0,48.0,2018,0
30,358,3,2,2018-01-13,Leila Carvalho,F,1985-02-03,Curitiba,teclado,30.0,2018-02-12,1,30.0,38.0,2018,0
31,519,4,3,2018-01-13,Lara Souza,F,1992-07-31,Belo Horizonte,laptop básico,2300.0,2018-01-22,1,9.0,30.0,2018,1
32,739,9,3,2018-01-13,Ana Silva,F,1979-03-24,Palmas,laptop básico,2300.0,2018-02-22,1,40.0,43.0,2018,1
33,459,2,7,2018-01-13,Sophia Melo,F,1997-03-09,Rio de Janeiro,carregador,150.0,,0,,25.0,2018,0
34,568,2,1,2018-01-14,Mariana Gomes,F,1958-07-01,Rio de Janeiro,mouse,20.0,2018-02-23,1,40.0,64.0,2018,1
35,378,7,3,2018-01-14,Clara Azevedo,F,2003-04-17,Salvador,laptop básico,2300.0,2018-02-05,1,22.0,19.0,2018,1
36,719,4,7,2018-01-14,Enzo Fernandes,M,1943-04-18,Belo Horizonte,carregador,150.0,2018-02-21,1,38.0,79.0,2018,1
37,959,6,3,2018-01-14,Isabelle Cardoso,F,1964-03-31,Recife,laptop básico,2300.0,2018-02-24,1,41.0,58.0,2018,1
38,927,8,7,2018-01-14,Enzo Goncalves,M,1967-12-07,Brasília,carregador,150.0,2018-02-17,1,34.0,55.0,2018,0
39,844,2,7,2018-01-14,Eduardo Costa,M,1967-08-02,Rio de Janeiro,carregador,150.0,,0,,55.0,2018,0
40,45,10,3,2018-01-15,Maria Oliveira,F,1984-01-09,Vitória,laptop básico,2300.0,2018-01-31,1,16.0,39.0,2018,0
41,47,5,5,2018-01-15,Ágatha Goncalves,F,1936-04-18,Santa Catarina,monitor,1500.0,2018-01-25,1,10.0,86.0,2018,0
42,353,6,2,2018-01-15,Melissa Cavalcanti,F,1984-07-12,Recife,teclado,30.0,2018-01-19,1,4.0,38.0,2018,1
43,246,3,7,2018-01-16,Leonardo Melo,M,1961-09-07,Curitiba,carregador,150.0,2018-02-24,1,39.0,61.0,2018,0
44,332,8,7,2018-01-16,Eduardo Almeida,M,1992-10-28,Brasília,carregador,150.0,2018-02-18,1,33.0,30.0,2018,1
45,769,2,3,2018-01-16,Rafaela Lima,F,1954-04-07,Rio de Janeiro,laptop básico,2300.0,,0,,68.0,2018,1
46,679,9,3,2018-01-18,Beatriz Barbosa,F,1984-12-25,Palmas,laptop básico,2300.0,2018-01-28,1,10.0,38.0,2018,0
47,595,2,3,2018-01-18,Matheus Alves,M,1972-04-14,Rio de Janeiro,laptop básico,2300.0,2018-02-12,1,25.0,50.0,2018,0
48,651,3,1,2018-01-18,Diego Sousa,M,1979-05-25,Curitiba,mouse,20.0,2018-02-04,1,17.0,43.0,2018,0
49,694,6,3,2018-01-19,Guilherme Gomes,M,1995-08-19,Recife,laptop básico,2300.0,2018-01-24,1,5.0,27.0,2018,1
50,243,2,3,2018-01-19,Sofia Barros,F,1984-03-10,Rio de Janeiro,laptop básico,2300.0,,0,,38.0,2018,0
51,707,8,4,2018-01-19,Tânia Goncalves,F,1997-10-31,Brasília,laptop gamer,5300.0,,0,,25.0,2018,0
52,471,2,6,2018-01-20,Clara Silva,F,1942-09-26,Rio de Janeiro,impressora,700.0,,0,,80.0,2018,0
53,294,2,3,2018-01-20,Alex Santos,M,1987-10-03,Rio de Janeiro,laptop básico,2300.0,2018-02-27,1,38.0,35.0,2018,0
54,467,6,3,2018-01-20,Lavinia Cunha,F,1964-08-10,Recife,laptop básico,2300.0,2018-02-02,1,13.0,58.0,2018,0
55,873,6,3,2018-01-21,Bruna Silva,F,1943-12-02,Recife,laptop básico,2300.0,2018-02-16,1,26.0,79.0,2018,0
56,745,8,4,2018-01-21,Otávio Alves,M,1957-09-08,Brasília,laptop gamer,5300.0,,0,,65.0,2018,0
57,769,2,2,2018-01-21,Rafaela Lima,F,1954-04-07,Rio de Janeiro,teclado,30.0,,0,,68.0,2018,0
58,117,2,3,2018-01-21,Renan Fernandes,M,1993-01-28,Rio de Janeiro,laptop básico,2300.0,,0,,30.0,2018,0
59,387,8,3,2018-01-21,Eduardo Rocha,M,1979-12-31,Brasília,laptop básico,2300.0,,0,,43.0,2018,0
60,674,10,6,2018-01-21,Luiza Lima,F,1985-08-12,Vitória,impressora,700.0,2018-02-19,1,29.0,37.0,2018,0
61,31,2,3,2018-01-23,Luis Rodrigues,M,1935-08-07,Rio de Janeiro,laptop básico,2300.0,2018-03-07,1,43.0,87.0,2018,0
62,448,10,3,2018-01-23,Paulo Costa,M,1990-12-13,Vitória,laptop básico,2300.0,2018-03-02,1,38.0,32.0,2018,1
63,786,9,2,2018-01-23,Tânia Lima,F,1945-12-26,Palmas,teclado,30.0,2018-02-02,1,10.0,77.0,2018,0
64,635,7,2,2018-01-24,Danilo Silva,M,1966-05-30,Salvador,teclado,30.0,2018-03-06,1,41.0,56.0,2018,0
65,186,10,1,2018-01-24,Leonor Pinto,F,1999-12-02,Vitória,mouse,20.0,2018-03-06,1,41.0,23.0,2018,0
66,361,6,4,2018-01-24,Vinicius Santos,M,1937-03-21,Recife,laptop gamer,5300.0,2018-02-08,1,15.0,85.0,2018,0
67,359,2,3,2018-01-24,Aline Correia,F,1986-01-23,Rio de Janeiro,laptop básico,2300.0,,0,,37.0,2018,0
68,542,2,3,2018-01-24,Nicole Barbosa,F,1935-03-23,Rio de Janeiro,laptop básico,2300.0,,0,,87.0,2018,0
69,253,7,3,2018-01-24,Matilde Gomes,F,2003-05-15,Salvador,laptop básico,2300.0,2018-02-06,1,13.0,19.0,2018,1
70,396,6,3,2018-01-25,Gabriela Santos,F,2000-04-27,Recife,laptop básico,2300.0,2018-02-22,1,28.0,22.0,2018,1
71,210,9,6,2018-01-25,Carla Martins,F,1978-07-17,Palmas,impressora,700.0,2018-01-25,1,0.0,44.0,2018,0
72,284,1,7,2018-01-25,Giovana Costa,F,1990-09-28,São Paulo,carregador,150.0,,0,,32.0,2018,0
